user_id,year_month,total_spend,total_income,spend_food,spend_rent,spend_academic,spend_groceries,avg_daily_spend,median_transaction,max_transaction,num_transactions,weekend_spend_ratio,recurring_share,savings_rate,label_anomalous
U00001,2025-08,28528.74,11311.28,4198.38,5432.92,10292.01,2486.92,950.96,220.02,5432.92,90,0.2966,0.1904,-1.5221,False
U00001,2025-09,20236.59,11311.28,2090.17,4190.97,7765.88,1298.64,778.33,183.24,4190.97,69,0.3366,0.2071,-0.7891,False
U00001,2025-10,25513.64,11311.28,3016.05,5049.4,5137.71,3106.34,981.29,208.14,5049.4,82,0.2476,0.1979,-1.2556,False
U00001,2025-11,16845.85,11311.28,2183.84,8471.23,1917.54,561.42,1531.44,235.83,8471.23,36,0.7649,0.5029,-0.4893,False
U00002,2025-08,33279.9,22874.75,8927.87,6284.27,9426.92,4004.54,1109.33,187.92,6284.27,108,0.1548,0.1888,-0.4549,False
U00002,2025-09,23691.21,22874.75,9491.26,3725.5,3854.39,1895.04,816.94,181.41,3725.5,90,0.3827,0.1573,-0.0357,True
U00002,2025-10,26891.94,22874.75,5421.55,6643.39,8114.6,2421.25,867.48,180.2,6643.39,79,0.2687,0.247,-0.1756,False
U00002,2025-11,17739.03,22874.75,4786.29,8433.74,2259.51,923.17,1478.25,136.09,8433.74,50,0.1534,0.4754,0.2245,False
U00003,2025-08,23003.74,30544.61,3619.48,4186.4,3051.4,1960.19,920.15,183.46,4186.4,79,0.2201,0.182,0.2469,False
U00003,2025-09,25592.13,32817.29,4661.15,4838.59,7277.39,2277.73,914.0,175.53,4838.59,83,0.239,0.1891,0.2202,False
U00003,2025-10,23793.22,32247.46,2551.49,8174.06,4486.77,1266.5,849.76,186.53,8174.06,73,0.5799,0.3435,0.2622,False
U00003,2025-11,12022.44,22902.65,949.53,4195.76,2991.75,444.46,1001.87,220.46,4195.76,32,0.447,0.349,0.4751,False
U00004,2025-08,64796.68,23807.99,3043.76,3892.37,0.0,8806.1,2234.37,313.77,4960.81,115,0.452,0.0601,-1.7216,False
U00004,2025-09,36867.35,19467.19,2248.27,3638.91,0.0,5844.99,1271.29,259.6,3638.91,97,0.3186,0.0987,-0.8938,False
U00004,2025-10,45248.78,19467.19,4401.02,5266.34,0.0,6875.27,1560.3,284.92,5266.34,106,0.3104,0.1164,-1.3244,False
U00004,2025-11,20193.28,19467.19,1566.61,3803.73,0.0,2540.28,1682.77,307.48,3803.73,37,0.2914,0.1884,-0.0373,False
U00005,2025-08,24334.94,30026.87,4969.5,0.0,5845.45,3009.45,811.16,184.88,1304.27,97,0.4961,0.0,0.1896,False
U00005,2025-09,16731.63,24871.38,3271.13,0.0,1447.97,1563.55,576.95,171.28,768.65,80,0.2033,0.0,0.3273,False
U00005,2025-10,15626.88,24871.38,3021.27,0.0,6053.8,509.53,558.1,192.26,1165.29,59,0.2186,0.0,0.3717,False
U00005,2025-11,7206.74,24871.38,1432.57,0.0,1264.99,376.2,655.16,123.1,848.72,38,0.3115,0.0,0.7102,False
U00006,2025-08,12686.95,9487.53,866.46,0.0,3401.28,2766.22,437.48,157.45,607.82,64,0.2178,0.0,-0.3372,False
U00006,2025-09,11312.74,9487.53,994.05,0.0,3377.8,1129.95,538.7,149.43,873.3,55,0.3502,0.0,-0.1924,False
U00006,2025-10,10320.49,9487.53,1275.31,0.0,5123.73,1663.67,344.02,147.69,978.35,56,0.2188,0.0,-0.0878,False
U00006,2025-11,3702.06,9487.53,297.27,0.0,1133.93,944.05,308.51,166.32,358.66,22,0.2338,0.0,0.6098,False
U00007,2025-08,24478.93,15017.68,3070.95,4172.69,8495.86,1788.72,874.25,250.47,4172.69,67,0.2505,0.1705,-0.63,False
U00007,2025-09,20573.9,15017.68,3321.79,5476.05,4905.11,1789.19,709.44,153.76,5476.05,77,0.3876,0.2662,-0.37,False
U00007,2025-10,24466.13,15017.68,2508.77,6175.46,7208.66,2396.06,906.15,218.48,6175.46,71,0.4743,0.2524,-0.6292,False
U00007,2025-11,14221.69,15017.68,1344.41,8058.61,1802.77,765.08,1185.14,184.88,8058.61,31,0.2155,0.5666,0.053,False
U00008,2025-08,16578.81,32898.6,3120.63,0.0,5885.5,2047.58,637.65,154.94,1151.77,73,0.3975,0.0,0.4961,False
U00008,2025-09,13972.58,33892.32,3415.22,0.0,2525.82,2037.58,517.5,134.67,1464.75,79,0.3514,0.0,0.5877,False
U00008,2025-10,14360.98,33067.83,2641.03,0.0,5087.87,1399.57,652.77,216.1,1169.91,54,0.1826,0.0,0.5657,False
U00008,2025-11,4828.89,25342.63,1286.31,0.0,1257.02,1341.08,438.99,134.83,514.59,24,0.4584,0.0,0.8095,False
U00009,2025-08,15637.52,9700.23,2150.88,0.0,4147.46,2506.5,558.48,218.38,779.19,63,0.13,0.0,-0.6121,False
U00009,2025-09,21654.32,9700.23,4422.17,0.0,7270.07,961.27,721.81,201.27,989.38,82,0.2813,0.0,-1.2324,True
U00009,2025-10,18876.17,9700.23,2867.82,0.0,3984.98,6442.04,674.15,191.91,1302.38,78,0.3952,0.0,-0.946,False
U00009,2025-11,6578.34,9700.23,2355.34,0.0,2870.88,432.88,506.03,212.2,1215.94,26,0.466,0.0,0.3218,False
U00010,2025-08,15109.79,36109.55,3379.28,0.0,2451.35,2936.89,521.03,166.42,833.91,78,0.3906,0.0,0.5816,False
U00010,2025-09,13405.26,35350.45,2552.28,0.0,3463.85,2072.82,536.21,170.26,785.23,58,0.2621,0.0,0.6208,False
U00010,2025-10,16393.61,36332.47,2315.25,0.0,7339.72,1720.03,607.17,164.84,2276.83,60,0.2217,0.0,0.5488,False
U00010,2025-11,7456.69,27916.48,1717.53,0.0,1914.84,1019.16,573.59,158.7,645.21,37,0.3491,0.0,0.7329,False
U00011,2025-08,16619.89,38211.14,3021.23,0.0,3876.33,3978.76,615.55,180.13,861.59,80,0.6072,0.0,0.5651,False
U00011,2025-09,15526.8,33610.81,3246.47,0.0,4067.05,2560.36,575.07,171.37,1960.14,59,0.1952,0.0,0.538,False
U00011,2025-10,19397.36,29994.11,2719.85,0.0,5183.13,1848.0,668.87,200.04,1320.68,79,0.2647,0.0,0.3533,False
U00011,2025-11,5260.62,24652.33,763.34,0.0,229.51,1592.17,438.38,219.63,546.21,22,0.4844,0.0,0.7866,False
U00012,2025-08,21923.99,12043.67,1306.89,10447.7,3992.63,1607.4,812.0,142.18,10447.7,65,0.1424,0.4765,-0.8204,False
U00012,2025-09,21321.6,12043.67,1172.9,6066.61,4855.56,1761.04,735.23,126.56,6066.61,72,0.4775,0.2845,-0.7704,False
U00012,2025-10,13937.42,12043.67,706.16,6259.81,2620.84,2302.38,696.87,127.2,6259.81,45,0.1645,0.4491,-0.1572,False
U00012,2025-11,10326.08,12043.67,859.31,5742.19,1143.88,1259.81,1032.61,138.92,5742.19,27,0.1636,0.5561,0.1426,False
U00013,2025-08,25604.19,14151.12,3635.95,4326.06,6704.94,4718.18,914.44,210.39,4326.06,78,0.2715,0.169,-0.8093,False
U00013,2025-09,23895.94,14151.12,3614.9,3971.83,6069.91,2963.44,885.03,208.37,3971.83,78,0.3313,0.1662,-0.6886,False
U00013,2025-10,20943.39,14151.12,2381.68,3205.33,5023.15,3461.64,805.51,195.3,3205.33,70,0.3283,0.153,-0.48,False
U00013,2025-11,13022.16,14151.12,975.5,4140.66,2654.1,2721.26,1183.83,193.85,4140.66,38,0.2235,0.318,0.0798,False
U00014,2025-08,23312.49,18622.59,4074.98,4157.24,6701.38,1652.69,863.43,166.94,4157.24,78,0.1798,0.1783,-0.2518,False
U00014,2025-09,21410.26,18622.59,1605.57,4422.23,3396.12,3381.91,792.97,201.2,4422.23,65,0.2802,0.2065,-0.1497,False
U00014,2025-10,20164.22,18622.59,2374.2,2975.65,4656.98,4045.35,720.15,157.11,2975.65,77,0.3076,0.1476,-0.0828,False
U00014,2025-11,13839.71,18622.59,2314.75,4550.48,1537.51,1616.99,1064.59,204.84,4550.48,41,0.2821,0.3288,0.2568,False
U00015,2025-08,17602.69,14402.84,979.46,3697.38,7063.2,1425.27,651.95,177.66,3697.38,68,0.1976,0.21,-0.2222,False
U00015,2025-09,17003.13,14402.84,1693.71,4071.71,4837.28,2416.27,653.97,159.45,4071.71,64,0.0976,0.2395,-0.1805,False
U00015,2025-10,12860.16,14402.84,1221.83,3389.85,4584.54,1330.19,476.3,132.28,3389.85,55,0.1859,0.2636,0.1071,False
U00015,2025-11,7101.56,14402.84,673.05,2549.77,2472.33,557.81,645.6,126.36,2549.77,30,0.3471,0.359,0.5069,False
U00016,2025-08,39305.85,22328.2,4711.25,0.0,0.0,4165.4,1310.2,259.32,1778.54,106,0.387,0.0,-0.7604,False
U00016,2025-09,44368.83,22328.2,4791.22,0.0,0.0,5621.42,1643.29,245.36,2974.02,107,0.2348,0.0,-0.9871,False
U00016,2025-10,62262.02,22328.2,4089.44,0.0,0.0,7241.7,2008.45,275.03,3309.53,137,0.2871,0.0,-1.7885,False
U00016,2025-11,14890.41,22328.2,1250.79,0.0,0.0,1593.58,1240.87,244.86,1770.26,43,0.1947,0.0,0.3331,False
U00017,2025-08,31258.04,39394.3,3221.4,11646.46,5197.72,3708.99,1202.23,182.05,11646.46,78,0.3021,0.3726,0.2065,False
U00017,2025-09,26779.27,31067.99,4236.3,7873.8,6018.33,1604.37,923.42,167.06,7873.8,84,0.1891,0.294,0.138,False
U00017,2025-10,25624.74,34625.74,4323.94,4913.56,5846.33,2609.57,883.61,160.81,4913.56,87,0.2675,0.1918,0.26,False
U00017,2025-11,11519.28,25589.61,516.7,5622.94,505.65,1811.51,1151.93,217.01,5622.94,24,0.0744,0.4881,0.5498,False
U00018,2025-08,15549.56,29919.56,872.61,5228.12,3314.6,1624.4,676.07,193.74,5228.12,50,0.247,0.3362,0.4803,False
